station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
Dandurand / de Lorimier,-73.58419083058834,45.54088934785174,Rosemont - La Petite-Patrie,4,4,8
Darling / Sherbrooke,-73.55673909187317,45.54545514686953,Inconnu,0,1,1
Dorion / Gauthier,-73.56643053399237,45.53081165221863,Le Plateau-Mont-Royal,190,186,376
Dorion / Ontario,-73.55821162462234,45.526991277453526,Ville-Marie,3602,4217,7819
Drolet / Marie-Anne,-73.58117669820786,45.52240257341408,Le Plateau-Mont-Royal,212,217,429
Drolet / St-Zotique,-73.60941231250763,45.53488214147823,Rosemont - La Petite-Patrie,73,69,142
Drummond / Sherbrooke,-73.578113079202,45.50053575221416,Ville-Marie,100,76,176
Drummond / Ste-Catherine,-73.5741600394249,45.49861674293281,Ville-Marie,33,39,72
Drummond / des-Canadiens-de-Montréal,-73.57027635600843,45.49676067752141,Ville-Marie,76,56,132
Duke / Nazareth,-73.55461344122887,45.49572236030835,Ville-Marie,821,801,1622
Duluth  / St-Denis,-73.57594907283782,45.52062760607925,Le Plateau-Mont-Royal,2865,2718,5583
Duluth / de l'Esplanade,-73.58105599880219,45.515132275425785,Le Plateau-Mont-Royal,129,80,209
Durocher / Beaumont,-73.61919969320297,45.52799772330074,Villeray—Saint-Michel—Parc-Extension,28,31,59
Durocher / Sherbrooke,-73.57227981090546,45.507088290505685,Le Plateau-Mont-Royal,66,50,116
Elmwood / Mc Dougall,-73.60364019870758,45.51778642010814,Outremont,524,469,993
Ernest-Gendreau / du Mont-Royal,-73.56384828686714,45.549713734001415,Inconnu,0,1,1
Fabre / Jean-Talon,-73.60776543617249,45.546634811657086,Rosemont - La Petite-Patrie,1006,944,1950
Fabre / Laurier,-73.58259929347696,45.53458691154375,Le Plateau-Mont-Royal,129,130,259
Fabre / St-Zotique,-73.60126135876271,45.543653916207866,Rosemont - La Petite-Patrie,24,17,41
Fabrik8 (Waverly / Jean-Talon),-73.62082242965698,45.53330725719417,Villeray—Saint-Michel—Parc-Extension,845,868,1713
Fairmount / Hutchison,-73.59826556408734,45.51969064184933,Le Plateau-Mont-Royal,35,27,62
Fortune / Wellington,-73.559038,45.477923,Le Sud-Ouest,909,1012,1921
Frontenac / Ste-Catherine,-73.54559183120728,45.53006276144042,Ville-Marie,584,660,1244
Fullum / Gilford,-73.5737818479538,45.539198007249375,Le Plateau-Mont-Royal,95,88,183
Fullum / Marie-Anne,-73.56803923845291,45.53650541861215,Le Plateau-Mont-Royal,3327,2983,6310
Fullum / Sherbrooke,-73.56228053569794,45.53378566312351,Le Plateau-Mont-Royal,247,213,460
Fullum / de Rouen,-73.55892024004788,45.53225536243612,Ville-Marie,35,46,81
Gare Centrale (de la Gauchetière / Mansfield),-73.5660799094876,45.49982531155875,Ville-Marie,29,32,61
