STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Marquette / des Carrières,Rosemont - La Petite-Patrie,45.53859456744162,-73.58865737915039,,,,,1734647554109,,2024-12-19 22:32:34.109,12,
Ste-Catherine / Bishop,Ville-Marie,45.49658063218649,-73.5762146115303,,,,,1734640335287,,2024-12-19 20:32:15.287,12,
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,,,,,1734642167504,,2024-12-19 21:02:47.504,12,
Viger / Chenneville,Ville-Marie,45.50531166520915,-73.56089115142822,,,,,1734655391442,,2024-12-20 00:43:11.442,12,
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Rosemont - La Petite-Patrie,45.539306918976,-73.59521873295307,,,,,1734658621143,,2024-12-20 01:37:01.143,12,
Notre-Dame / St-Gabriel,Ville-Marie,45.50714391928411,-73.55511903762817,,,,,1734648320186,,2024-12-19 22:45:20.186,12,
des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815366,-73.56671154499054,,,,,1734657202561,,2024-12-20 01:13:22.561,12,
Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.52723106564012,-73.58672618865965,,,,,1734658901794,,2024-12-20 01:41:41.794,12,
Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.52723106564012,-73.58672618865965,,,,,1734654614995,,2024-12-20 00:30:14.995,12,
Marché Jean-Talon (Casgrain / Shamrock),Rosemont - La Petite-Patrie,45.53519006163501,-73.61548215150833,,,,,1734645274179,,2024-12-19 21:54:34.179,12,
Masson / Molson,Rosemont - La Petite-Patrie,45.54434593245247,-73.57697686180472,,,,,1734629366442,,2024-12-19 17:29:26.442,12,
Masson / Molson,Rosemont - La Petite-Patrie,45.54434593245247,-73.57697686180472,,,,,1734664943753,,2024-12-20 03:22:23.753,12,
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.51401222645779,-73.56598667800426,,,,,1734667845525,,2024-12-20 04:10:45.525,12,
Garnier / Beaubien,Rosemont - La Petite-Patrie,45.54144823434163,-73.59839379787445,,,,,1734663494071,,2024-12-20 02:58:14.071,12,
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,,,,,1734639789713,,2024-12-19 20:23:09.713,12,
Place Ville-Marie (Robert-Bourassa / René-Lévesque),Ville-Marie,45.5021829099012,-73.56825381517409,,,,,1734654455320,,2024-12-20 00:27:35.320,12,
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.48948092966191,-73.58455628156662,,,,,1734650194321,,2024-12-19 23:16:34.321,12,
de Maisonneuve / Mackay,Ville-Marie,45.49652610927994,-73.5787707567215,,,,,1734645088502,,2024-12-19 21:51:28.502,12,
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,,,,,1734682112457,,2024-12-20 08:08:32.457,12,
HEC (Decelles / Jean-Brillant),Côte-des-Neiges - Notre-Dame-de-Grâce,45.49772282989976,-73.61925333738327,,,,,1735678423627,,2024-12-31 20:53:43.627,12,
Villeray / De Normanville,Villeray—Saint-Michel—Parc-Extension,45.54716675630067,-73.6184438467353,,,,,1735688441801,,2024-12-31 23:40:41.801,12,
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319051,-73.5645255446434,,,,,1735584918843,,2024-12-30 18:55:18.843,12,
Ottawa / William,Le Sud-Ouest,45.48972725318433,-73.56406286358833,,,,,1735656544567,,2024-12-31 14:49:04.567,12,
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091,,,,,1735598340181,,2024-12-30 22:39:00.181,12,
Marché St-Jacques (Atateken),Ville-Marie,45.52066599241888,-73.5639146839003,,,,,1735671432751,,2024-12-31 18:57:12.751,12,
Parc Georges St-Pierre (Oxford / Upper Lachine),Côte-des-Neiges - Notre-Dame-de-Grâce,45.46887995929811,-73.60943913459778,,,,,1735654446706,,2024-12-31 14:14:06.706,12,
Georges-Vanier /  Notre-Dame,Le Sud-Ouest,45.48504525051504,-73.57192163679429,,,,,1735657911113,,2024-12-31 15:11:51.113,12,
Marché St-Jacques (Atateken),Ville-Marie,45.52066599241888,-73.5639146839003,,,,,1735600450553,,2024-12-30 23:14:10.553,12,
du Mont-Royal / de Brébeuf,Le Plateau-Mont-Royal,45.529324317019466,-73.57792049646378,,,,,1735677885649,,2024-12-31 20:44:45.649,12,
Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555,,,,,1735671276674,,2024-12-31 18:54:36.674,12,
Milton / St-Laurent,Le Plateau-Mont-Royal,45.512916325090295,-73.57055649161339,,,,,1735600498972,,2024-12-30 23:14:58.972,12,
Masson / Molson,Rosemont - La Petite-Patrie,45.54434593245247,-73.57697686180472,,,,,1735685346096,,2024-12-31 22:49:06.096,12,
Fortune / Wellington,Le Sud-Ouest,45.477923,-73.559038,,,,,1735654692065,,2024-12-31 14:18:12.065,12,
Marché Atwater,Le Sud-Ouest,45.48020822800015,-73.57759863138199,,,,,1735588678802,,2024-12-30 19:57:58.802,12,
des Érables / Laurier,Le Plateau-Mont-Royal,45.538514913607656,-73.57769921422005,,,,,1735604287075,,2024-12-31 00:18:07.075,12,
Ste-Catherine / Bishop,Ville-Marie,45.49658063218649,-73.5762146115303,,,,,1735496934535,,2024-12-29 18:28:54.535,12,
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,45.551574858642525,-73.58225226402283,,,,,1735489786554,,2024-12-29 16:29:46.554,12,
Melrose / de Verdun,Verdun,45.45381979371188,-73.57238446649716,,,,,1735484350530,,2024-12-29 14:59:10.530,12,
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52424701428399,-73.58166217803955,,,,,1735590639618,,2024-12-30 20:30:39.618,12,
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,,,,,1735495037544,,2024-12-29 17:57:17.544,12,
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,,,,,1735499725430,,2024-12-29 19:15:25.430,12,
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.5169290827898,-73.58911652441746,,,,,1735596692368,,2024-12-30 22:11:32.368,12,
